ml	CpG.number
chr10_61848496_61849024	0.13	7
chr10_62088895_62089602	0.3	10
chr10_62128237_62129399	0.03	35
chr10_62320278_62321025	0.39	10
chr10_62410980_62412586	0.06	23
chr10_62850853_62851699	0.12	8
chr10_63156728_63157671	0.14	8
chr10_64118755_64119599	0.83	4
chr10_64215335_64216492	0.1	9
chr10_64311516_64312349	0.11	3
chr10_65215022_65215648	0.05	4
chr10_65845104_65845588	0.58	4
chr10_66181239_66181841	0.81	3
chr10_66640783_66641723	0.16	23
chr10_66780534_66781197	0.6	9
chr10_67038850_67039634	0.06	21
chr10_67083565_67084196	0.51	10
chr10_67360356_67361314	0.33	22
chr10_67491872_67492665	0.02	14
chr10_67512184_67512701	0.14	10
chr10_67557949_67558573	0.15	9
chr10_67651601_67652094	0.22	4
chr10_67864245_67865408	0.22	8
chr10_67883579_67884111	0.18	8
chr10_67918100_67919305	0.19	9
chr10_67932370_67933125	0.18	28
chr10_68558155_68559302	0.03	16
chr10_68584220_68584621	0.05	4
chr10_68606824_68607804	0.27	4
chr10_69069363_69070176	0.58	12
chr10_69485081_69485786	0.1	6
chr10_69509491_69510713	0.13	19
chr10_69854473_69855364	0.09	11
chr10_70287195_70288095	0.65	17
chr10_70305603_70306320	0.06	6
chr10_70398064_70398803	0.09	10
chr10_70455513_70456390	0.12	12
chr10_70788874_70789594	0.4	8
chr10_71114120_71115125	0.03	15
chr10_71200544_71201465	0.45	15
chr10_71371542_71372494	0.24	13
chr10_71380216_71380849	0.02	7
chr10_71663445_71663945	0.3	5
chr10_72613149_72613818	0	4
chr10_73037366_73037722	0.34	2
chr10_74402762_74403945	0.08	12
chr10_74952504_74953859	0.07	14
chr10_75006873_75007886	0.09	10
chr10_75116516_75117379	0.36	10
chr10_75197762_75198290	0.26	1
chr10_75303480_75304562	0.03	13
chr10_75465635_75466396	0.37	8
chr10_75743070_75744413	0.06	21
chr10_75788236_75788783	0.1	10
chr10_75872680_75873858	0.11	24
chr10_76632353_76633208	0.44	17
chr10_76668469_76669363	0.37	13
chr10_76744168_76744784	0.04	8
chr10_77021282_77022086	0.39	18
chr10_77179948_77180764	0.32	6
chr10_77315382_77316381	0.13	8
chr10_77341120_77342269	0.23	9
chr10_77456305_77456997	0.74	9
chr10_77624157_77625287	0.19	11
chr10_77636364_77637055	0.22	6
chr10_77667258_77667883	0.35	8
chr10_77682753_77683448	0.26	9
chr10_78001470_78002476	0.11	14
chr10_78042673_78043691	0.07	29
chr10_78138808_78139585	0.08	12
chr10_78144108_78144527	0.06	6
chr10_78372822_78374110	0.05	29
chr10_78747035_78747844	0.01	28
chr10_79900744_79901623	0.09	4
chr10_80115238_80116189	0	21
chr10_80398815_80400108	0	44
chr10_81014486_81015365	0.11	22
chr10_81036993_81037702	0.03	19
chr10_81538034_81538795	0.12	3
chr10_81559175_81560875	0.03	6
chr10_81633206_81634243	0.09	12
chr10_82661677_82662968	0.02	24
chr10_82689600_82691211	0.02	26
chr10_82909210_82909732	0.11	10
chr10_82919052_82920161	0.27	15
chr10_83003923_83004808	0.33	17
chr10_83038013_83038664	0.3	10
chr10_83071966_83072676	0.34	19
chr10_83111058_83111649	0.14	12
chr10_83343218_83343668	0.37	6
chr10_83630814_83631378	0.82	7
chr10_84000364_84000841	0.26	5
chr10_84088939_84090177	0.22	19
chr10_84172614_84173486	0.02	6
chr10_84243451_84244090	0.47	6
chr10_84299824_84300204	0.31	2
chr10_84646452_84647496	0.13	19
chr10_84852151_84853224	0.22	12
chr10_85102082_85102701	0.01	11
chr10_85386508_85387891	0.02	91
chr10_85871560_85872494	0.03	44
chr10_86302475_86303277	0.26	8
chr10_86339555_86340321	0.6	3
chr10_86359248_86359943	0.89	4
chr10_86387965_86389276	0.05	17
chr10_86479529_86480271	0.33	8
chr10_86480608_86481596	0.25	15
chr10_86685172_86686139	0.01	18
chr10_86778426_86779324	0.06	20
chr10_86890401_86891022	0.35	16
chr10_87083975_87084585	0.04	7
chr10_87508456_87508761	0.07	2
chr10_87666386_87667390	0.27	11
chr10_87813119_87813604	0.43	3
chr10_88523791_88524406	0.38	5
chr10_88584497_88585079	0.12	12
chr10_88708845_88709382	0.24	5
chr10_89243721_89244603	0.37	5
chr10_89685529_89686861	0.02	42
chr10_90102029_90102732	0.36	2
chr10_90307928_90308685	0	5
chr10_90666618_90667212	0.58	2
chr10_90696581_90697352	0.11	9
chr10_90704507_90705304	0.04	17
chr10_90872985_90873853	0.11	13
chr10_90999813_91000354	0.12	7
chr10_91612028_91612606	0.12	8
chr10_91875389_91875943	0.24	3
chr10_91887831_91889126	0.18	6
chr10_93119720_93120292	0.04	6
chr10_93144704_93145613	0.09	13
chr10_93360399_93361580	0.29	12
chr10_93437636_93438373	0.16	4
chr10_93577315_93577951	0.73	12
chr10_93812944_93813402	0.03	9
chr10_94198442_94199572	0.01	47
chr10_94343488_94344135	0.28	13
chr10_94408581_94409251	0.02	15
chr10_94409672_94410083	0.02	6
chr10_94595529_94596316	0.13	13
chr10_94771308_94771994	0.01	3
chr10_94777252_94778008	0.03	3
chr10_94829287_94830008	0.07	11
chr10_94969941_94970950	0.31	21
chr10_95003486_95004271	0.42	11
chr10_95232542_95233563	0.14	16
chr10_95254290_95255117	0.37	19
chr10_95280226_95280575	0.8	4
chr10_95524970_95525548	0.01	5
chr10_95615746_95616995	0.15	30
chr10_95671244_95671813	0.07	9
chr10_95704729_95705394	0.05	8
chr10_95705850_95706439	0.02	5
chr10_95790557_95791451	0.19	19
chr10_96297566_96298182	0.1	4
chr10_96847286_96848224	0.47	9
chr10_97077331_97078439	0.16	8
chr10_97158631_97159920	0.37	9
chr10_97436506_97437149	0.36	8
chr10_98333521_98333971	0.49	6
chr10_98343851_98344403	0.12	6
chr10_98485673_98486828	0.06	25
chr10_98529315_98530078	0.05	4
chr10_98576865_98577344	0.01	6
chr10_98607834_98608712	0.12	12
chr10_98628187_98628642	0.26	1
chr10_98775306_98776134	0.01	10
chr10_98806691_98807366	0.06	18
chr10_99076118_99076841	0.14	17
chr10_99166595_99166875	0.03	2
chr10_99241796_99242871	0.06	18
chr10_99309637_99311272	0.07	37
chr10_99323187_99324039	0.05	11
chr10_99396476_99397021	0.19	3
chr10_99399739_99400509	0.01	11
chr10_99430823_99431647	0.32	12
chr10_99519461_99520325	0.06	12
chr10_99524574_99525252	0.34	14
chr10_99553039_99553546	0.05	10
chr10_99561331_99561966	0.1	8
chr10_99602224_99602665	0.27	7
chr10_105191949_105192601	0.14	2
chr10_105714804_105715211	0.01	5
chr10_106760912_106761998	0.02	8
chr10_106838192_106838913	0.25	3
chr10_107271401_107273278	0	75
chr10_107323800_107324324	0.08	14
chr10_107499515_107500261	0.45	12
chr10_107813889_107814657	0.07	15
chr10_107966936_107967525	0.34	13
chr10_107992463_107993185	0.03	6
chr10_108033922_108034495	0.04	5
chr10_108039777_108040504	0.23	1
chr10_109056400_109057024	0.09	7
chr10_109105784_109106276	0.07	2
chr10_109116794_109118114	0.08	10
chr10_109332724_109333617	0	8
chr10_109643358_109644271	0.06	8
chr10_109741661_109742213	0.34	3
chr10_109985890_109986805	0.02	13
chr10_110386393_110386919	0.07	6
chr10_110421209_110421926	0.31	11
chr10_110563328_110564161	0.08	3
chr10_110571086_110571818	0.1	7
chr10_110600250_110600819	0.09	11
chr10_110618961_110619684	0.31	12
chr10_110927402_110928073	0.43	15
chr10_111308763_111309620	0.2	19
chr10_111394237_111395124	0.2	24
chr10_111566790_111567508	0.33	13
chr10_112468783_112469194	0.06	2
chr10_112483876_112484665	0.24	6
chr10_112521590_112522233	0.15	5
chr10_114841073_114842529	0.42	24
chr10_114871197_114871823	0.15	4
chr10_115293842_115294467	0.3	13
chr10_115587021_115587972	0.01	46
chr10_116132103_116132685	0.16	5
chr10_116291120_116291919	0.27	11
chr10_116371303_116371861	0.03	5
chr10_116402959_116404131	0.03	9
chr10_116427845_116428784	0.07	34
chr10_116487005_116487536	0.05	6
chr10_116580590_116582340	0	90
chr10_116739922_116740846	0.34	22
chr10_116956462_116957267	0.15	17
chr10_117646946_117647653	0.16	20
chr10_117905665_117906940	0	42
chr10_117984758_117985564	0.04	15
chr10_118161010_118162474	0.45	11
chr10_118470368_118471221	0.16	13
chr10_118479069_118479821	0.29	6
chr10_118699217_118699825	0.23	8
chr10_118746605_118747622	0.28	5
chr10_118781645_118782478	0.09	16
chr10_118824741_118825233	0.15	9
chr10_119013765_119014525	0.09	10
chr10_119027019_119027733	0.2	6
chr10_119706185_119707470	0.36	21
chr10_119742527_119743310	0.28	15
chr10_120012386_120012806	0.12	10
chr10_120038148_120039005	0.21	15
chr10_120165032_120165540	0.24	10
chr10_120635967_120636570	0.38	18
chr10_120851128_120851947	0.1	10
chr10_121033229_121034446	0	55
chr10_121205919_121206498	0.47	9
chr10_121309875_121311331	0.01	56
chr10_121487682_121488325	0.17	12
chr10_121689574_121690359	0.13	15
chr10_122569243_122569999	0.07	12
chr10_122917688_122918992	0.26	30
chr10_123196687_123197697	0	11
chr10_123426647_123427360	0.06	7
chr10_123789112_123789851	0.33	5
chr10_123839822_123841007	0.04	17
chr10_125121720_125122555	0.05	11
chr10_126013552_126014081	0.29	14
chr10_126484980_126485634	0.37	10
chr10_126520822_126521435	0.82	12
chr10_126815037_126816319	0.21	30
chr10_127481327_127481904	0.29	9
chr10_127509136_127509958	0.01	18
chr10_127838344_127839018	0.09	2
chr10_128035069_128036603	0	102
chr10_128082759_128083828	0	66
chr10_128283236_128284477	0.73	30
chr10_129230578_129231115	0.36	3
chr11_3514419_3515469	0.02	33
chr11_3710313_3710736	0	13
chr11_3797286_3798140	0.06	8
chr11_4027722_4028394	0.02	7
chr11_4105060_4106040	0.07	13
chr11_4228535_4228942	0.44	4
chr11_4251907_4252604	0.25	10
chr11_4497348_4497997	0.08	12
chr11_4594310_4595101	0.01	13
chr11_4620161_4620915	0.07	26
chr11_4814630_4815349	0.1	4
chr11_4927180_4927768	0.02	3
chr11_5027840_5029074	0.06	9
chr11_5034824_5035910	0.27	6
chr11_5165244_5166269	0.01	9
chr11_5354559_5355211	0	1
chr11_5444447_5445406	0	29
chr11_5541812_5542518	0.02	43
chr11_6224440_6225253	0.13	13
chr11_6625757_6626758	0.05	44
chr11_6692290_6692969	0.2	8
chr11_6889540_6890234	0.18	9
chr11_6952695_6953419	0.88	3
chr11_7624954_7625697	0.57	6
chr11_8405001_8405762	0.09	17
chr11_8424343_8425320	0.55	14
chr11_8481395_8482055	0.38	8
chr11_9127976_9128708	0.03	3
chr11_9441062_9441566	0.85	4
chr11_9997637_9997976	0.3	3
chr11_11113685_11114622	0	41
chr11_11867922_11868636	0.15	16
chr11_12343630_12344133	0.08	5
chr11_13495868_13496706	0.36	1
chr11_17045620_17046439	0.01	6
chr11_17083674_17084414	0.39	3
chr11_17106523_17107939	0.2	18
chr11_20571866_20572452	0.08	5
chr11_20608405_20609056	0.01	11
chr11_20830276_20831852	0	37
chr11_21149143_21149850	0.01	5
chr11_21338651_21339633	0.03	6
chr11_22353831_22354505	0.02	4
chr11_22369721_22370204	0.26	2
chr11_22827405_22828101	0.07	5
chr11_22889160_22889764	0.22	5
chr11_23007280_23008749	0	66
chr11_23497341_23498459	0.01	30
chr11_24005440_24006533	0.15	22
chr11_24043859_24044446	0.09	11
chr11_24143990_24144815	0.02	21
chr11_24264026_24264434	0.5	1
chr11_24363377_24363946	0.56	9
chr11_24665402_24666162	0.81	3
chr11_24679456_24680082	0.27	6
chr11_24757969_24758575	0.52	1
chr11_24980122_24980870	0.77	12
chr11_25147270_25147927	0.34	3
chr11_25313903_25314905	0.12	20
chr11_25410123_25411335	0.32	8
chr11_25736912_25737949	0.19	13
chr11_26437692_26438472	0.66	17
chr11_26972485_26973319	0.09	10
chr11_28572288_28572800	0.06	1
chr11_29766097_29767065	0.03	13
chr11_29777855_29778531	0.09	1
chr11_30025590_30026491	0	45
chr11_30102432_30103249	0.13	6
chr11_30732933_30733786	0.04	1
chr11_30885076_30886050	0.03	15
chr11_30943525_30944036	1	2
chr11_31606013_31606977	0.36	19
chr11_31684030_31684889	0.02	5
chr11_31815924_31816795	0.11	14
chr11_31838498_31839045	0.75	6
chr11_32083468_32083896	0	2
chr11_32113294_32113612	0	1
chr11_32335514_32335971	0.05	2
chr11_32340466_32341172	0.03	10
chr11_32402258_32403358	0.05	12
chr11_32504711_32505591	0.09	6
chr11_32591669_32592813	0.61	17
chr11_32621904_32622880	0.9	20
chr11_32998880_32999776	0.35	11
chr11_33221764_33222473	0.14	9
chr11_33336525_33337238	0.18	7
chr11_33627085_33627903	0.09	7
chr11_33798103_33798694	0.53	11
chr11_34033871_34034425	0.05	4
chr11_34258816_34259476	0.01	12
chr11_34864975_34866033	0.05	24
chr11_34938874_34939495	0.33	4
chr11_35011619_35012501	0.04	24
chr11_35057613_35058303	0.35	7
chr11_35261537_35263129	0.12	24
chr11_35527526_35528191	0.11	7
chr11_35582157_35582953	0.12	12
chr11_35679631_35680664	0.07	8
chr11_35756599_35757470	0.27	9
chr11_35902922_35903693	0.08	16
chr11_35919314_35920510	0.14	13
chr11_36176037_36176743	0.25	10
chr11_36260150_36260713	0.4	3
chr11_36341669_36342227	0.21	4
chr11_36495011_36495654	0.23	6
chr11_38600880_38601372	0.13	5
chr11_38673285_38674179	0.37	6
chr11_39794073_39794644	0.02	12
chr11_39972680_39973140	0.08	4
chr11_40551907_40552537	0.02	4
chr11_40573048_40574286	0.07	16
chr11_40846532_40847033	0.27	2
chr11_40872726_40873460	0.01	3
chr11_40890756_40892036	0.05	3
chr11_41159078_41159589	0.69	2
chr11_41493303_41493854	0	7
chr11_41652477_41653023	0.11	1
chr11_42528079_42528956	0.05	3
chr11_42575018_42575501	0.15	2
chr11_42592200_42592970	0.27	7
chr11_42754709_42755901	0.55	7
chr11_42903482_42904158	0.64	6
chr11_43190010_43190496	0.11	3
chr11_43216870_43217595	0.59	4
chr11_43585172_43585652	0.53	16
chr11_43852746_43853372	0.19	10
chr11_44806518_44806975	0.1	11
chr11_45454885_45455414	0.89	4
chr11_45472057_45472827	0.26	7
chr11_45624069_45624744	0.02	7
chr11_45991615_45992365	0.12	25
chr11_46092048_46092606	0.13	6
chr11_46134714_46135783	0.12	9
chr11_46156917_46157491	0.28	10
chr11_46362127_46362788	0.41	14
chr11_48551065_48552463	0.47	10
chr11_49651082_49651949	0.12	18
chr11_49876666_49877669	0.11	12
chr11_50441538_50442426	0.38	16
chr11_50527675_50528437	0.04	7
chr11_50744859_50745575	0.36	10
chr11_51227093_51227972	0.31	10
chr11_51342610_51343333	0.12	8
chr11_51381021_51381562	0.15	7
chr11_51401396_51402123	0.07	9
chr11_51458541_51459018	0.72	5
chr11_51518475_51519144	0.38	10
chr11_51622879_51623870	0.08	10
chr11_51874409_51875396	0.57	6
chr11_51898211_51899394	0.03	17
chr11_52436785_52437815	0.12	22
chr11_52536142_52537395	0.08	18
chr11_52602059_52602816	0.08	19
chr11_52648206_52649531	0.21	23
chr11_52665228_52666280	0.34	10
chr11_52794091_52794895	0.06	7
chr11_52915519_52916200	0.35	4
chr11_53097230_53098101	0.17	10
chr11_53228877_53229414	0.07	3
chr11_53496754_53497586	0.15	8
chr11_53504730_53505820	0.76	10
chr11_53841750_53842755	0.06	10
chr11_54027513_54029032	0.13	71
chr11_54058677_54059217	0.14	8
chr11_54675793_54676333	0.03	2
chr11_54805047_54805648	0.02	9
chr11_54833463_54834526	0.12	12
chr11_55194100_55195291	0.18	17
chr11_55261893_55262703	0.85	16
chr11_55356701_55357354	0.92	7
chr11_56165694_56166274	0.42	7
chr11_56335940_56336684	0.51	3
chr11_56716770_56717503	0.41	2
chr11_56792567_56793530	0.05	6
chr11_56810036_56810618	0.29	2
chr11_57030383_57030974	0.07	7
chr11_57313463_57314257	0.13	9
chr11_57459598_57460263	0.26	11
chr11_57518118_57519082	0	24
chr11_57786791_57787230	0.58	11
chr11_58126308_58126960	0.37	7
chr11_58143573_58144256	0.13	8
chr11_58903655_58904530	0.01	28
chr11_58914364_58915135	0.11	14
chr11_59014865_59015641	0.27	9
chr11_59282908_59283438	0.61	9
chr11_59354780_59355613	0.3	6
chr11_59496566_59497088	0.05	7
chr11_59758426_59759672	0.4	9
chr11_59847828_59848785	0.01	41
chr11_59860151_59861107	0.32	14
chr11_60003655_60004375	0.3	6
chr11_60032316_60033377	0.33	9
chr11_60057965_60058660	0.69	9
chr11_60208968_60209737	0.33	5
chr11_60264600_60265178	0.81	2
chr11_60273217_60274200	0.46	8
chr11_60396522_60397859	0.23	11
chr11_60416701_60418151	0	22
chr11_60985013_60985539	0.55	8
chr11_61040839_61041713	0.19	12
chr11_61068567_61069298	0.41	5
chr11_61407627_61408932	0.01	56
chr11_61484308_61485152	0.2	13
chr11_61625104_61625741	0.23	10
chr11_61648503_61649263	0.33	11
chr11_61956644_61957883	0.01	54
chr11_61964343_61965013	0.24	5
chr11_62005040_62006081	0.02	18
chr11_62076430_62077338	0.08	20
chr11_62305481_62306468	0.29	11
chr11_62456429_62457709	0	5
chr11_62495378_62495824	0.56	4
chr11_62624534_62625254	0.21	5
chr11_64058376_64059009	0.46	5
chr11_64158341_64158692	0.3	5
chr11_64331751_64332379	0.02	7
chr11_65124871_65125484	0.44	8
chr11_65246428_65247135	0.07	6
chr11_65363828_65364413	0.48	5
chr11_65475039_65475975	0.08	18
chr11_65838978_65839721	0.1	10
chr11_65930117_65931353	0.32	7
chr11_66428419_66428764	0.69	2
chr11_66674484_66675121	0.04	5
chr11_66992132_66992700	0.42	3
chr11_66998782_66999383	0.08	8
chr11_67098338_67098950	0.04	13
chr11_67125123_67125827	0.01	23
chr11_67153142_67153901	0.1	9
chr11_67163748_67164514	0.33	5
chr11_67228610_67229798	0.02	13
chr11_67293040_67294073	0.36	7
chr11_67410642_67411029	0.88	7
chr11_67481800_67482866	0.07	14
chr11_67556365_67556900	0.69	3
chr11_67756298_67757817	0.43	16
chr11_67821553_67822122	0.1	10
chr11_67888172_67888911	0.05	9
chr11_67998759_67999498	0.15	11
chr11_68018992_68019664	0.28	13
chr11_68185402_68186061	0.13	4
chr11_68233221_68234014	0.79	12
chr11_68478309_68479321	0.04	7
chr11_68526102_68527087	0.15	10
chr11_68600306_68601133	0.34	7
chr11_68631746_68632519	0.08	16
chr11_69174759_69175477	0.12	13
chr11_69196671_69197635	0.12	20
chr11_69487409_69488032	0.63	13
chr11_69499043_69499800	0.35	20
chr11_69632367_69633542	0	16
chr11_69672080_69672763	0.01	27
chr11_69685541_69686246	0.62	3
chr11_69791372_69792063	0.18	9
chr11_69920944_69922255	0	32
chr11_70403434_70404325	0.18	5
chr11_70524943_70525608	0.01	12
chr11_70668364_70669692	0	43
chr11_71651854_71652865	0.19	12
chr11_71705627_71706377	0.07	6
chr11_71812887_71813462	0.21	8
chr11_71902156_71903461	0.06	11
chr11_71929445_71930552	0.26	7
chr11_71944352_71945318	0.04	9
chr11_72110427_72111272	0.19	8
chr11_72314067_72314770	0.11	25
chr11_72522325_72523165	0.02	6
chr11_72526300_72526707	0.47	5
chr11_72566576_72567388	0.06	9
chr11_72712042_72713124	0.3	11
chr11_72764124_72765020	0.18	9
chr11_74526600_74527294	0.01	9
chr11_74559692_74560332	0.41	2
chr11_74610397_74611405	0.06	33
chr11_74866694_74867597	0.51	6
chr11_74925449_74926508	0	39
chr11_74992298_74993133	0.13	5
chr11_75054207_75054681	0.02	4
chr11_75119163_75120086	0.44	5
chr11_75183847_75185615	0.24	9
chr11_75531173_75532857	0	70
chr11_75811922_75812669	0.37	4
chr11_76243064_76244259	0	46
chr11_76279098_76279840	0.84	12
chr11_76398720_76399749	0.01	8
chr11_76507398_76508313	0.18	8
chr11_76953497_76954360	0.06	7
chr11_76996059_76996897	0.01	17
chr11_77174392_77175467	0.15	13
chr11_77267263_77267856	0	2
chr11_77607417_77608363	0	7
chr11_77981612_77982980	0	27
chr11_78044575_78045320	0.85	7
chr11_78239850_78240866	0.01	6
chr11_78261284_78262252	0.01	19
chr11_78696936_78698221	0	23
chr11_78726198_78727405	0.18	9
chr11_78764107_78764881	0.14	6
chr11_78771450_78772346	0.36	14
chr11_78791552_78793073	0	23
chr11_78804616_78806103	0.06	23
chr11_78978444_78978805	0.18	8
chr11_79171790_79172586	0.2	12
chr11_79213953_79214527	0.15	13
chr11_79339103_79340248	0	27
chr11_79729426_79730267	0.59	16
chr11_79806887_79807631	0	16
chr11_80080363_80081568	0.05	27
chr11_80304792_80305423	0.02	21
chr11_80566099_80567018	0.12	10
chr11_80645068_80645560	0.23	6
chr11_80798047_80798850	0.17	14
chr11_80907449_80908576	0.49	10
chr11_80923267_80924344	0.04	24
chr11_81037903_81038986	0.21	12
chr11_81059335_81060127	0.22	10
chr11_81095874_81096506	0.19	10
chr11_81164765_81165411	0.43	7
chr11_81269543_81270742	0.11	12
chr11_81322778_81323654	0.62	10
chr11_81418866_81419543	0.41	6
chr11_81492242_81493042	0.02	8
chr11_81564440_81565348	0.41	8
chr11_81670359_81670921	0.11	4
chr11_81800794_81801440	0.17	7
chr11_81865481_81866251	0.2	13
chr11_82057256_82058064	0.16	7
chr11_82460817_82461856	0.16	13
chr11_82579621_82580403	0.1	10
chr11_83335648_83336320	0.27	9
chr11_83392793_83393811	0.47	10
chr11_83963985_83964807	0.02	31
chr11_83995270_83996239	0.18	14
chr11_84074171_84074819	0.15	6
chr11_84089003_84089553	0.26	7
chr11_84097365_84098262	0.07	10
chr11_84642241_84642942	0.01	42
chr11_84697055_84698180	0.06	15
chr11_84707604_84708364	0.51	13
chr11_84904666_84905352	0.19	12
chr11_84939427_84940132	0.07	11
chr11_84988388_84988988	0.08	3
chr11_85492133_85493278	0.01	16
chr11_85621988_85622521	0.51	8
chr11_85755142_85756020	0.01	9
chr11_86756587_86758478	0.01	66
chr11_86920130_86920916	0.27	16
chr11_86995636_86996078	0	2
chr11_87108620_87110066	0	72
chr11_87309132_87310080	0.04	8
chr11_87385738_87386181	0.21	1
chr11_87403855_87404806	0.01	45
chr11_87801478_87802377	0.2	22
chr11_87920051_87920867	0.18	5
chr11_88215145_88216115	0.19	25
chr11_88216337_88216799	0.08	9
chr11_88245458_88246117	0.02	10
chr11_89615676_89616397	0.15	3
chr11_89950701_89951275	0.33	3
chr11_90112224_90112617	0.04	8
chr11_90175309_90176302	0.14	15
chr11_90197948_90198463	0.04	6
chr11_90677785_90678510	0.07	11
chr11_90851430_90852074	0.8	4
chr11_91442261_91442858	0.06	2
chr11_93522496_93523394	0.36	11
chr11_93587600_93588410	0.1	6
chr11_93608534_93609327	0.23	12
chr11_93646099_93646726	0.07	3
chr11_93695772_93697034	0.91	14
chr11_93967859_93968836	0	25
chr11_94177870_94178830	0.38	17
chr11_94209968_94212322	0	43
chr11_94232013_94232531	0.42	6
chr11_94425608_94426388	0.18	11
chr11_94520980_94521922	0.09	37
chr11_95398028_95398542	0.01	8
chr11_95475841_95476901	0.13	17
chr11_95791805_95792383	0.34	13
chr11_96420984_96421742	0.22	11
chr11_96840049_96840890	0.02	14
chr11_96977039_96978323	0.01	39
chr11_96991432_96992046	0.53	5
chr11_97035985_97036716	0.38	7
chr11_97150042_97150856	0.05	6
chr11_97187709_97188927	0	47
chr11_97206802_97207415	0.09	9
